id,code,name,description,price,unit,category,brand,hs_code,weight,volume,qty,spec,specs_l,specs_w,specs_h,specification,area,location,box_no,material,color,image,image_filename,image_data,remarks,tags,create_time,update_time,restaurant_brand_id,material_brand,suggested_waste_rate,excel_src_row,pic_folder,code_before_cleanup
58,HW10-GYHG-X7D0-001,一次性雨衣,可添加LOGO定制,2.5,箱,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_3BE1BEC86804434B8E9ED4AB1073EEF7"",1)",,,,,,,,,,59,前厅杂件,HW10-GYHG-X7D0-001
59,HW10-GYHG-XD37-001,排号机打印纸,57cm*30cm,40.5,箱,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_4C30B9A4E3D94851875F816EC7C3D3F6"",1)",,,,,,,,,,60,前厅杂件,HW10-GYHG-XD37-001
60,HW10-GYHG-X85C-001,排号机,"美团配套硬件有则无需
",1038,套,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_18D5B530FDA8426D83E4E5E339079853"",1)",,,,,,,,,,61,前厅杂件,HW10-GYHG-X85C-001
61,HW10-GYHG-XC98-001,爆米花机,品牌: VERLY型号: VBG-1608,488,台,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_10E195F32D1547788E26762507F5BDA2"",1)",,,,,,,,,,62,前厅杂件,HW10-GYHG-XC98-001
62,HW10-GYHG-XF0D-001,迎宾毛巾,,6.3,条,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_3BAAE637BBAA47E0A03267592D551D03"",1)",,,,,,,,,,63,前厅杂件,HW10-GYHG-XF0D-001
63,HW10-GYHG-X1C6-001,火锅去味水,,17.5,套,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_DAB7BF77D62449FE819FFBDD71CE5089"",1)",,,,,,,,,,64,前厅杂件,HW10-GYHG-X1C6-001
64,HW10-GYHG-XE01-001,花露水,,46,瓶,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_958F7ABF3811456E94A1CE55FD00C129"",1)",,,,,,,,,,65,前厅杂件,HW10-GYHG-XE01-001
65,HW10-GYHG-X834-001,一次性纸巾机(湿巾机),,,台,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_8776D9C175C446449F16FA32E3580A53"",1)",,,,,,,,,,66,前厅杂件,HW10-GYHG-X834-001
66,HW10-GYHG-AZI-001,一次性纸巾（湿巾，柔巾卷）,1选50克30米交叉网,225,件（8卷）,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_5D3D6DB44B2E4F149477CBDC015E27ED"",1)",,,,,,,,,,67,前厅杂件,HW10-GYHG-AZI-001
67,HW10-GYHG-XEB3-001,台面制冰机,沃拓莱,1099,台,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_C599EF41804F43BC9A613FBD63AF98E7"",1)",,,,,,,,,,68,前厅杂件,HW10-GYHG-XEB3-001
68,HW10-GYHG-X733-001,醋瓶,,29.8,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_F66BAB085DC34BB184633075ABA9FEBA"",1)",,,,,,,,,,69,前厅杂件,HW10-GYHG-X733-001
69,HW10-GYHG-X558-001,灭蝇灯,,98,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_214F6DC6A6744013AF36BD10662ACD32"",1)",,,,,,,,,,70,前厅杂件,HW10-GYHG-X558-001
70,HW10-GYHG-X4B0-001,纸巾盒,,8.8,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_1F115DBD8B8B47459ED02E66F8B45409"",1)",,,,,,,,,,71,前厅杂件,HW10-GYHG-X4B0-001
71,HW10-GYHG-X2D9-001,小汤勺盒,数量根据多少备餐柜购买,55,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_61F9032DD1354D4C9DD3AF5F696559C5"",1)",,,,,,,,,,72,前厅杂件,HW10-GYHG-X2D9-001
72,HW10-GYHG-X30B-001,收餐车,,95-355,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_1EF4B2FE3AAE4D75BE9479B38FFD6D33"",1)",,,,,,,,,,73,前厅杂件,HW10-GYHG-X30B-001
73,HW10-GYHG-XD42-001,口布,擦杯具,4.8,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_D19F04F4DBE94949A799E9182A2B4AF8"",1)",,,,,,,,,,74,前厅杂件,HW10-GYHG-XD42-001
74,HW10-GYHG-XF06-001,头花,,2.8,个,五金杂件,,,,,,,,,,,五金杂件,,,,,"=DISPIMG(""ID_006B7D244607445D85067D1E9B0706DF"",1)",,,,,,,,,,75,前厅杂件,HW10-GYHG-XF06-001
